Name,avg_utility,avg_nash_product,avg_social_welfare,avg_distance_from_pareto,avg_num_offers,count,agreement,failed,ERROR
LeNegotiator5,0.749613552295,0.5075241509485006,1.4477019219049996,0.07286720894636146,113.825,40,40,0,0
LeNegotiator4,0.74917052632,0.4822348994341564,1.4269578277475001,0.07825761236073805,135.375,40,40,0,0
LeNegotiator3,0.73860941003,0.4934873129071624,1.413899885825,0.0952880859590636,129.725,40,39,1,0
LeNegotiator1,0.6555392317575001,0.41283717887441246,1.3121718493099999,0.1309341047216766,153.4,40,38,2,0
LeNegotiator2,0.5732041452124998,0.4598280255206594,1.3315422464425002,0.14433845795104322,101.425,40,37,3,0
